201,New Jersey,Bayonne; Bergenfield; Cliffside Park; Englewood; Fair Lawn; Fort Lee; Hackensack; Hoboken; Jersey City; Kearny; North Bergen; Paramus; Ridgewood; Teaneck; Union City; West New York
202,District of Columbia,Washington
203,Connecticut,Bridgeport; Danbury; East Haven; Meriden; Milford; Naugatuck; New Haven; North Haven; Norwalk; Shelton; Stamford; Stratford; Trumbull; Waterbury; West Haven; Westport
204,Manitoba,Brandon; Dauphin; Flin Flon; Morden; Portage la Prairie; Selkirk; Steinbach; The Pas; Thompson; Winkler; Winnipeg
205,Alabama,Alabaster; Bessemer; Birmingham; Center Point; Homewood; Hoover; Mountain Brook; Tuscaloosa; Vestavia Hills
206,Washington,Bainbridge Island; Burien; Des Moines; Mercer Island; Seattle; Shoreline; White Center
207,Maine,Auburn; Augusta; Bangor; Biddeford; Brunswick; Lewiston; South Portland
208,Idaho,Boise; Caldwell; Coeur d'Alene; Idaho Falls; Lewiston; Meridian; Moscow; Nampa; Pocatello; Twin Falls
209,California,Atwater; Ceres; Lodi; Los Banos; Manteca; Merced; Stockton; Tracy; Turlock; West Modesto
210,Texas,San Antonio
212,New York,New York City
213,California,Los Angeles
214,Texas,Allen; Arlington; Carrollton; Cedar Hill; Coppell; Dallas; DeSoto; Duncanville; Farmers Branch; Flower Mound; Frisco; Garland; Grand Prairie; Irving; Lancaster; Lewisville; McKinney; Mesquite; Plano; Richardson; Rowlett; The Colony; University Park; Waxahachie
215,Pennsylvania,Levittown; Philadelphia
216,Ohio,Brook Park; Cleveland Heights; East Cleveland; Garfield Heights; Lakewood; Maple Heights; Parma; Shaker Heights; South Euclid
217,Illinois,Champaign; Charleston; Danville; Decatur; Quincy; Springfield; Urbana
218,Minnesota,Andover; Duluth; Moorhead
219,Indiana,East Chicago; Gary; Hammond; Highland; Hobart; LaPorte; Merrillville; Michigan City; Munster; Portage; Schererville; Valparaiso
220,Ohio,Athens; Chillicothe; Delaware; Lancaster; Marion; Newark; Portsmouth; Zanesville
